messageKey,,en,de,es,fr,pt,ru,zh_CN
blank,,,,,,,,
application.font.size.extra_large,Extra large,Extra large,Extra groß,Extra grande,Très grand,Extra grande,Очень большой,Extra large
application.font.size.extra_small,Extra small,Extra small,Extra klein,Extra pequeño,Très petit,Extra pequeno,Очень маленький,Extra small
application.font.size.large,Large,Large,Groß,Grande,Grand,Grande,Большой,Large
application.font.size.normal,Normal,Normal,Normal,Normal,Normal,Normal,Нормальный,Normal
application.font.size.small,Small,Small,Klein,Pequeño,Petit,Pequeno,Маленький,Small
application.language.english,English,English,English,English,English,English,English,English
application.language.french,Français,Français,Français,Français,Français,Français,Français,Français
application.language.german,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch
application.language.portuguese,Português,Português,Português,Português,Português,Português,Português,Português
application.language.russian,Русский,Русский,Русский,Русский,Русский,Русский,Русский,Русский
application.language.spanish,Español,Español,Español,Español,Español,Español,Español,Español
application.language.chinese_simplified,Simplified Chinese,Simplified Chinese,Chinesisch (Vereinfacht),Chino Simplificado,Chinois Simplifié,Chinês Simplificado,Упрощённый Китайский,简体中文
application.orientation.horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,Horizontal,По горизонтали,水平
application.orientation.vertical,Vertical,Vertical,Vertikal,Vertical,Vertical,Vertical,По вертикали,垂直
game.expansion.horizons,Horizons (Odyssey content not available),Horizons (Odyssey content not available),Horizons (Odyssey content not available),Horizons (Contenido de Odyssey no disponible),Horizons (Contenu de Odyssey indisponible),Horizons (Odyssey content not available),Horizons (Контент Odyssey недоступен),地平线（奥德赛内容暂不可用）
game.expansion.odyssey,Odyssey,Odyssey,Odyssey,Odyssey,Odyssey,Odyssey,Odyssey,奥德赛
game.expansion.none,Base game,Base game,Base game,Juego Base,Jeu de base,Base game,Базовая версия игры,基础版本
tabs.engineers,Engineers,Engineers,Ingenieure,Ingenieros,Ingénieurs,Engenheiros,Инженеры,工程师
tabs.import,Import,Import,Importieren,Importar,Importer,Importar,Импортировать,导入
tabs.imported.wishlist,Imported wishlist,Imported wishlist,Importierte Wunschliste,Lista de deseos importada,Liste de souhaits importée,Lista de desejos importada,Импортированный список желаемого,Imported wishlist
tabs.loadout,Loadout Editor,Loadout Editor,Loadout-Editor,Editor de equipamiento,Éditeur de l’équipement,Editor de Carregamento,Редактор экипировки,Loadout Editor
tabs.settings,Settings,Settings,Einstellungen,Ajustes,Paramètres,Configurações,Настройки,设置
tabs.trade,Trade,Trade,Handel,Comercio,Commerce,Negociação,Торговля,Trade
tabs.wishlist,Wishlist{0},Wishlist{0},Wunschliste{0},Lista de deseos{0},Liste de souhaits{0},Lista de desejos{0},Список желаемого{0},Wishlist{0}
tabs.odyssey,Odyssey,Odyssey,Odyssey,Odyssey,Odyssey,Odyssey,Odyssey,奥德赛
tabs.horizons,Horizons,Horizons,Horizons,Horizons,Horizons,Horizons,Horizons,地平线
tabs.odyssey.materials,Materials,Materials,Materialien,Materiales,Matériaux,Materiais,Материалы,Materials
tabs.horizons.materials,Materials,Materials,Materialien,Materiales,Matériaux,Materiais,Материалы,Materials
tabs.horizons.commodities,Commodities,Commodities,Waren,Mercancías,Marchandises,Mercadorias,Товары,Commodities
statusbar.last.message,Latest observed relevant message: {0} ({1}),Latest observed relevant message: {0} ({1}),Letzte beobachtete relevante Nachricht: {0} ({1}),Último mensaje relevante observado: {0} ({1}),Dernier message pertinent détecté : {0} ({1}),Última mensagem relevante observada: {0} ({1}),Последнее наблюдаемое релевантное сообщение: {0} ({1}),Latest observed relevant message: {0} ({1})
statusbar.login,Please login to the game,Please login to the game,Bitte logge dich in das Spiel ein,Inicia sesión en el juego.,Merci de vous connecter au jeu,Por favor entre no jogo,"Пожалуйста, войдите в игру",请登陆游戏
statusbar.watching.none,None - No Odyssey journals found at {0},None - No Odyssey journals found at {0},Keine - Keine Odyssey journal-Datei gefunden bei {0},Ninguno - No se encontraron diarios de Odyssey en {0},Aucun - Pas de journal d’Odyssey trouvé à {0},Nenhum - Nenhum diário Odyssey encontrado em {0},None - журналов Odyssey в {0} не найдено.,None - No Odyssey journals found at {0}
statusbar.watching,Watching: {0},Watching: {0},Beobachten: {0},Viendo: {0},Surveillance : {0},Assistindo: {0},Наблюдают: {0},Watching: {0}
statusbar.api.last.update,Last API Update: {0},Last API Update: {0},Letzte API Aktualisierung: {0},Última actualización de API: {0},Dernière mise à jour de l’API : {0},Última atualização da API: {0},Последнее обновление API: {0},Last API Update: {0}
