messageKey,,en,de,es,fr,pt,ru,zh_CN
modifier.horizons.name.absolute_damage_ratio,Absolute Damage Ratio,Absolute Damage Ratio,,Porcentaje de Daño Absoluto,,Razão de Dano Absoluto,Абсолютный урон,Absolute Damage Ratio
modifier.horizons.name.ammo_capacity,Ammo Capacity,Ammo Capacity,Munitionskapazität,Capacidad de munición,Capacité de munitions,Capacidade de munição,Макс. боекомплект,Ammo Capacity
modifier.horizons.name.ammo_clip_size,Clip Size,Clip Size,Filmgröße,Tamaño del cargador,Taille du clip,Tamanho do pente,Размер магазина,Clip Size
modifier.horizons.name.ammo_cost,Ammo Cost,Ammo Cost,,Coste de munición,,Custo da Munição,Стоимость боеприпасов,Ammo Cost
modifier.horizons.name.ammo_maximum,Ammo Maximum,Ammo Maximum,Munition maximal,Munición máxima,Mamo maximum,Munição máxima,Макс. боекомплект,Ammo Maximum
modifier.horizons.name.anti_xeno_damage,Anti Xeno Damage,Anti Xeno Damage,Anti-Xeno-Schaden,Daño Anti-Xeno,Dommages anti xéno,Dano Anti-xeno,АИ урон,Anti Xeno Damage
modifier.horizons.name.anti_xeno_damage_ratio,Anti Xeno Damage Ratio,Anti Xeno Damage Ratio,,Porcentaje de daño Anti-Xeno,,Razão do Dano Anti-xeno,АИ урон,Anti Xeno Damage Ratio
modifier.horizons.name.area_fsds_reboot,Area FSD’s Reboot,Area FSD’s Reboot,Neustart des Bereichs FSD,Reinicio del MDD,Redémarrage de la zone FSD,Área de Reinicialização do Motor de Distorção,Перезагрузка FSD в области действия,Area FSD’s Reboot
modifier.horizons.name.anti_guardian_zone_resistance,Anti Guardian Zone Resistance,,,Resistencia a Zona Anti-Guardián,,Resistência à Zona Anti-Guardian,Защита от отключающего поля,Anti Guardian Zone Resistance
modifier.horizons.name.area_heat_increased_sensors_disrupted,Area Heat Increased Sensors Disrupted,Area Heat Increased Sensors Disrupted,Die Flächenwärme erhöhte die Sensoren gestört,Calor de área aumentada Alteración de Sensores,La chaleur de la zone a augmenté les capteurs perturbés,Sensores de aumento de calor da área interrompidos,"Нагревает, вызывает сбой в работе сенсоров в области действия",Area Heat Increased Sensors Disrupted
modifier.horizons.name.armour,Armour,Armour,,Blindaje,,Blindagem,Броня,Armour
modifier.horizons.name.armour_hardness,Armour Hardness,Armour Hardness,,Clase del Blindaje,,Classe da Blindagem,Рейтинг брони,Armour Hardness
modifier.horizons.name.armour_piercing,Armour Piercing,Armour Piercing,Panzerung durchdringen,Penetración del blindaje,Perçage d’armure,Perfuração de Blindagem,Бронебойность,Armour Piercing
modifier.horizons.name.auto_reload_while_firing,Auto Reload While Firing,Auto Reload While Firing,Automatische Neulade beim Schießen neu laden,Recarga automática mientras se dispara,Rechargement automatique pendant le tir,Recarregamento automático durante o disparo,Перезарядка во время стрельбы,Auto Reload While Firing
modifier.horizons.name.bin_count,Bin Count,Bin Count,,,,Capacidade,Количество ячеек,Bin Count
modifier.horizons.name.boost_augmenter_power_use,Boost Augmenter Power Use,Boost Augmenter Power Use,,,,Consumo de energia do potencializador,,Boost Augmenter Power Use
modifier.horizons.name.boost_cost,Boost Cost,Boost Cost,,Costo de Postquemador,,Custo do Impulso,,Boost Cost
modifier.horizons.name.boost_speed,Boost Speed,Boost Speed,,Velocidad en Postquemador,,Velocidade do Impulso,,Boost Speed
modifier.horizons.name.boost_speed_multiplier,Boost Speed Multiplier,Boost Speed Multiplier,,Multiplicador de Velocidad en Postquemador,,Multiplicador de Velocidade do Impulso,,Boost Speed Multiplier
modifier.horizons.name.boot_time,Boot Time,Boot Time,Bootzeit,Tiempo de arranque,Temps de démarrage,Tempo de inicialização,Время загрузки,Boot Time
modifier.horizons.name.breach_damage,Breach Damage,Breach Damage,,Daño de Penetración,,Dano de Violação,Проникающий урон,Breach Damage
modifier.horizons.name.broken_regen_rate,Broken Regen Rate,Broken Regen Rate,Gebrochene Regenrate,Tasa de regeneración rota,Taux de régénie cassé,Taxa de regeneração quebrada,Скорость восстановления,Broken Regen Rate
modifier.horizons.name.burst_interval,Burst Interval,Burst Interval,,Intervalo de ráfaga,,Intervalo da Rajada,Время очереди,Burst Interval
modifier.horizons.name.burst_rate_of_fire,Burst Rate Of Fire,Burst Rate Of Fire,Brennrate des Feuers,Cadencia de ráfaga,Éclatement de feu,Cadência da Rajada,Скорострельность очереди,Burst Rate Of Fire
modifier.horizons.name.burst_size,Burst Size,Burst Size,Burstgröße,Tamaño de ráfaga,Taille de l’éclatement,Tamanho da Rajada,Длина очереди,Burst Size
modifier.horizons.name.cabin_capacity,Cabin Capacity,Cabin Capacity,,Capacidad de la Cabina,,Capacidade da Cabine,Емкость кабины,Cabin Capacity
modifier.horizons.name.cabin_class,Cabin Class,Cabin Class,,Clase de la cabina,,Classe da Cabine,Класс кабины,Cabin Class
modifier.horizons.name.cargo_capacity,Cargo Capacity,Cargo Capacity,,Capacidad de carga,,Capacidade de Carga,Емкость стеллажа,Cargo Capacity
modifier.horizons.name.caustic_damage_ratio,Caustic Damage Ratio,Caustic Damage Ratio,,Porcentaje de daño Caústico,,Razão do Dano Cáustico,Едкий урон,Caustic Damage Ratio
modifier.horizons.name.caustic_resistance,Caustic Resistance,Caustic Resistance,,Resistencia Caústica,,Resistência Cáustica,Сопротивление едкому урону,Caustic Resistance
modifier.horizons.name.charge_time,Charge Time,Charge Time,,Tiempo de Recarga,,Tempo de Carregamento,Время зарядки,Charge Time
modifier.horizons.name.collision_resistance,Collision Resistance,Collision Resistance,,Resistencia a las Colisiones,,Resistência a Colisão,Сопротивление столкновению,Collision Resistance
modifier.horizons.name.consumption,Consumption,Consumption,,Consumo,,Consumo,Потребление,Consumption
modifier.horizons.name.crew,Crew,Crew,,Tripulación,,Tripulação,Экипаж,Crew
modifier.horizons.name.damage,Damage,Damage,Schaden,Daño,Dégâts,Dano,Урон,Damage
modifier.horizons.name.damage_boost,Damage Boost,Damage Boost,Schadensschub,Mejora del daño,Boost des dégâts,Incremento de Dano,Бонусный урон,Damage Boost
modifier.horizons.name.damage_falloff_start,Damage Falloff Start,Damage Falloff Start,Schadenserscheinungsstart,Inicio de la caída de daño,Début des dégâts,Início de Perda de Eficiência,Радиус полного урона,Damage Falloff Start
modifier.horizons.name.damage_increases_with_heat_level,Damage Increases With Heat Level,Damage Increases With Heat Level,Der Schaden nimmt mit dem Wärmespiegel zu,El daño aumenta con el nivel de calor,Les dommages augmentent avec le niveau de chaleur,Dano aumenta com o nível de calor,Увеличивает урон при высоком нагреве,Damage Increases With Heat Level
modifier.horizons.name.damage_multiplier,Damage Multiplier,Damage Multiplier,,Multiplicador de Daño,,Multiplicador de Dano,Множитель урона,Damage Multiplier
modifier.horizons.name.damage_partially_explosive,Damage Partially Explosive,Damage Partially Explosive,Teilweise explosiv Schaden,Daño parcialmente explosivo,Dommages partiellement explosifs,Dano parcialmente explosivo,Часть урона становится взрывным,Damage Partially Explosive
modifier.horizons.name.damage_partially_kinetic,Damage Partially Kinetic,Damage Partially Kinetic,Teilweise kinetisch schädigen,Daño parcialmente cinético,Dommages partiellement cinétiques,Danos parcialmente cinético,Часть урона становится кинетическим,Damage Partially Kinetic
modifier.horizons.name.damage_partially_thermal,Damage Partially Thermal,Damage Partially Thermal,Teilweise thermisch schaden,Daño parcialmente térmico,Dommage partiellement thermique,Dano parcialmente térmico,Часть урона становится тепловым,Damage Partially Thermal
modifier.horizons.name.damage_per_second,Damage Per Second,Damage Per Second,,Daño Por Segundo,,Dano por Segundo,Урон в секунду,Damage Per Second
modifier.horizons.name.damage_type,Damage Type,Damage Type,,Tipo de Daño,,Tipo de Dano,Тип урона,Damage Type
