messageKey,,en,de,es,fr,pt,ru,zh_CN
blueprint.horizons.type.ammo_capacity,Ammo Capacity,Ammo Capacity,Munitionskapazität,Capacidad de munición,Capacité de munitions,Capacidade de munição,Вместимость припасов,Ammo Capacity
blueprint.horizons.type.angled_plating,Angled Plating,Angled Plating,Winkelüberzug,Enchapado en ángulo,Placage incliné,Revestimento Inclinado,Угловая броня,Angled Plating
blueprint.horizons.type.armoured,Armoured,Armoured,Gepanzert,Blindado,Blindé,Blindado,Бронированная силовая установка,Armoured
blueprint.horizons.type.auto_loader,Auto Loader,Auto Loader,Autolader,Cargador automático,Chargeur automatique,Carregador Automático,Автоматическая система заряжения,Auto Loader
blueprint.horizons.type.blast_block,Blast Block,Blast Block,Blastblock,Bloqueo de explosivos,Bloc d’explosion,Bloqueio Explosivo,Блокировка взрыва,Blast Block
blueprint.horizons.type.blast_resistant,Blast Resistant,Blast Resistant,Explosionsbeständig,Resistente a la explosión,Résistant aux explosions,Resistente a Explosões,Взрывостойкий усилитель,Blast Resistant
blueprint.horizons.type.blast_resistant_hull_reinforcement,Blast Resistant Hull Reinforcement,Blast Resistant Hull Reinforcement,Detonationsresistente Rumpfhüllenverstärkung,Refuerzo estructural resistente a explosiones,Renforcement de la coque résistante aux explosions,Reforço de Casco Resistente a Explosão,Взрывостойкое усиление корпуса,Blast Resistant Hull Reinforcement
blueprint.horizons.type.bobblehead,Bobblehead,Bobblehead,Bobblehead,Muñecote,Bobble-tête,Bobblehead,Таргоидский перехватчик (Кивающая фигура),Bobblehead
blueprint.horizons.type.boss_cells,Boss Cells,Boss Cells,Bosszellen,Celdas de jefe,Cellules de boss,Células Resistentes,Босс-ячейки,Boss Cells
blueprint.horizons.type.charge_enhanced,Charge Enhanced,Charge Enhanced,Ladungsoptimiert,Carga mejorada,Charge améliorée,Recarga Melhorada,Быстрозаряжающийся распределитель питания,Charge Enhanced
blueprint.horizons.type.clean_drive_tuning,Clean Drive Tuning,Clean Drive Tuning,Ausgewogenes Antriebstuning,Motor limpio,Réglage de la conduite propre,Ajuste de Motor Limpo,«Чистая» донастройка,Clean Drive Tuning
blueprint.horizons.type.cluster_capacitor,Cluster Capacitor,Cluster Capacitor,Cluster-kondensatoren,Supercapacitadores,Condensateur en grappe,Banco de Capacitores,Кассетные конденсаторы,Cluster Capacitor
blueprint.horizons.type.concordant_sequence,Concordant Sequence,Concordant Sequence,Konkordante Sequenz,Secuencia concordante,Séquence concordante,Sequência Concordante,Последовательность координации,Concordant Sequence
blueprint.horizons.type.corrosion_resistant_cargo_rack,Corrosion Resistant Cargo Rack,Corrosion Resistant Cargo Rack,Korrosionsbeständiges Frachtgestell,Bodega de carga anticorrosión,Support de chargement résistant à la corrosion,Estante de Carga Anticorrosão,Антикоррозийный грузовой стеллаж,Corrosion Resistant Cargo Rack
