messageKey,,en,de,es,fr,pt,ru,zh_CN
blueprint.category.name.blueprints,Blueprints,Blueprints,Bauplan,Planos,Plans,Projetos,Чертежи,Blueprints
blueprint.category.name.core_internal,Core Internals,Core Internals,Intern (Basis),Internos Principales,Interne - Primordiaux,Internos Principais,Основное оборудование,Core Internals
blueprint.category.name.engineer_unlocks,Engineer Unlocks,Engineer Unlocks,Ingenieur-Freischaltungen,Desbloqueo del ingeniero,Déverrouillage des ingénieurs,Engenheiros,Разблокировка инженеров,Engineer Unlocks
blueprint.category.name.experimental_effects,Experimental Effects,Experimental Effects,Experimentelle Effekte,Efectos experimentales,Effets expérimentaux,Efeitos Experimentais,Экспериментальные эффекты,Experimental Effects
blueprint.category.name.hardpoint,Hardpoints,Hardpoints,Waffenaufhängungen,Anclajes,Points d’emport,Encaixes,Гнёзда,Hardpoints
blueprint.category.name.optional_internal,Optional Internals,Optional Internals,Intern (Optional),Internos Opcionales,Interne - Optionels,Internos Opcionais,Доп. Оборудование,Optional Internals
blueprint.category.name.suit_grades,Suit Grades,Suit Grades,Anzugstufen,Grados del traje,Niveaux de combinaison,Graus de Traje,Уровни костюма,Suit Grades
blueprint.category.name.suit_modules,Suit Modules,Suit Modules,Anzug Modifikationen,Módulos de trajes,Modules de combinaison,Módulos de Traje,Модули для костюма,Suit Modules
blueprint.category.name.synthesis,Synthesis,Synthesis,"Synthese ",Síntesis,Synthèse,Síntese,Синтез,Synthesis
blueprint.category.name.techbroker,Techbroker Blueprints,Techbroker Blueprints,Technologie Händler Bauplan,Planos de Broker de Tecnología,Plans de courtier en technologie,Mediador de Tecnologia,Чертежи техноброкеров,Techbroker Blueprints
blueprint.category.name.utility_mount,Utility Mounts,Utility Mounts,Werkzeug Aufhängungen,Anclajes de Utilidad,Supports utilitaires,Encaixes de Apoio,Внешнее оборудование,Utility Mounts
blueprint.category.name.weapon_grades,Weapon Grades,Weapon Grades,Waffenstufen,Grados de armas,Niveaux d’armes,Níveis de Armas,Уровни оружия,Weapon Grades
blueprint.category.name.weapon_modules,Weapon Modules,Weapon Modules,Waffen Modifikationen,Módulos de armas,Modules d’armes,Módulos de Arma,Модули для оружия,Weapon Modules
blueprint.category.name.optional_military,Optional Military,,,Militares Opcionales,Militaire - Optionels,Militares Opcionais,Доп. военное оборудование,Optional Military
blueprint.category.name.cargo_hatch,Cargo Hatch,,,Escotilla de Carga,Écoutille de soute,Escotilha de Carga,Грузовой люк,Cargo Hatch
