messageKey,,en,de,es,fr,pt,ru,zh_CN
colonisation.buildable.star_port_coriolis,Coriolis (medium),,,Coriolis (mediano),,,Кориолис (средний),Coriolis (medium)
colonisation.buildable.star_port_asteroid_base,Asteroid base (medium),,,Base de Asteroide (mediano),,,База на астероиде (средняя),Asteroid base (medium)
colonisation.buildable.star_port_ocellus,Ocellus (large),,,Ocellus (grande),,,Оцеллус (большой),Ocellus (large)
colonisation.buildable.star_port_orbis,Orbis (large),,,Orbis (Grande),,,Орбис (большой),Orbis (large)
colonisation.buildable.outpost_commercial,Commercial (small),,,Comercial (pequeño),,,Коммерческая (малая),Commercial (small)
colonisation.buildable.outpost_industrial,Industrial (small),,,Industrial (pequeño),,,Промышленная (малая),Industrial (small)
colonisation.buildable.outpost_criminal,Criminal (small),,,Criminal (pequeño),,,Криминальная (малая),Criminal (small)
colonisation.buildable.outpost_civilian,Civilian (small),,,Civil (pequeño),,,Гражданская (малая),Civilian (small)
colonisation.buildable.outpost_scientific,Scientific (small),,,Científica (pequeño),,,Научная (малая),Scientific (small)
colonisation.buildable.outpost_military,Military (small),,,Militar (pequeño),,,Военный аванпост (малый),Military (small)
colonisation.buildable.installation_satellite,Satellite (small),,,Satélite (pequeño),,,Спутник (малый),Satellite (small)
colonisation.buildable.installation_communication_station,Communication station (small),,,Estación de Comunicaciones (pequeño),,,Станция связи (малая),Communication station (small)
colonisation.buildable.installation_space_farm,Space farm (small),,,Granja Espacial (pequeño),,,Космическая ферма (малая),Space farm (small)
colonisation.buildable.installation_pirate_base,Pirate base (small),,,Base Pirata (pequeño),,,База пиратов (малая),Pirate base (small)
colonisation.buildable.installation_mining_outpost,Mining outpost (small),,,Base Espacial Minería (pequeño),,,Шахтерская станция (малая),Mining outpost (small)
colonisation.buildable.installation_relay_station,Relay station (small),,,Estación de Relés (pequeño),,,Ретрансляторная станция (малая),Relay station (small)
colonisation.buildable.installation_military,Military (medium),,,Militar (mediano),,,Военная (средняя),Military (medium)
