messageKey,,en,de,es,fr,pt,ru,zh_CN
economy.agri,Agriculture,,,Agricultura,,Agricultura,Сельское хозяйство,Agriculture
economy.colony,Colony,,,Colonia,,Colônia,Колония,Colony
economy.extraction,Extraction,,,Extracción,,Extração,Добыча ископаемых,Extraction
economy.hightech,High Tech,,,Alta Tecnología,,Alta Tecnología,Высокие технологии,High Tech
economy.industrial,Industrial,,,Industrial,,Industrial,Промышленность,Industrial
economy.military,Military,,,Militar,,Militar,Военная,Military
economy.refinery,Refinery,,,Refineria,,Refinaria,Переработка,Refinery
economy.service,Service,,,Servicios,,Serviços,Сфера услуг,Service
economy.terraforming,Terraforming,,,Terraformación,,Terraformação,Терраформирование,Terraforming
economy.tourism,Tourism,,,Turismo,,Turismo,Туризм,Tourism
economy.prison,Prison,,,Prisión,,Prisão,Тюрьма,Prison
economy.damaged,Damaged,,,Dañado,,Denificado,Поврежденная,Damaged
economy.rescue,Rescue,,,Rescate,,Resgate,Спасательный корабль,Rescue
economy.repair,Repair,,,Reparación,,Reparo,Ремонт,Repair
economy.carrier,Private Enterprise,,,Empresa Privada,,Empresa Privada,Частное предприятие,Private Enterprise
economy.engineer,Engineering,,,Ingeniería,,Engenharia,Инженерное дело,Engineering
economy.none,None,,,Ninguna,,Nenhuma,Нет,None
economy.unknown,Unknown,,,Desconocida,,Desconhecida,Неизвестно,Unknown
