messageKey,,en,de,es,fr,pt,ru,zh_CN
loadout.stat.name.ads_speed_carbine_shotgun,ADS Speed Carbine/Shotgun,ADS Speed Carbine/Shotgun,ADS-Schnellkarabiner/Schrotflinte,Velocidad ADS Carabina/escopeta,Carabine/fusil de vitesse ADS,Velocidade de Mira Carabina/Escopeta,Скорость прицеливания с карабином/дробовиком,ADS Speed Carbine/Shotgun
loadout.stat.name.ads_speed_pistol,ADS Speed Pistol,ADS Speed Pistol,ADS-Geschwindigkeitspistole,Velocidad ADS Pistola,Pistolet de vitesse ADS,Velocidade de Mira Pistola,Скорость прицеливания с пистолетом,ADS Speed Pistol
loadout.stat.name.ads_speed_rifle,ADS Speed Rifle,ADS Speed Rifle,ADS-Geschwindigkeitsgewehr,Velocidad ADS Fusil,Fusil de vitesse ADS,Velocidade de Mira Rifle,Скорость прицеливания с винтовкой,ADS Speed Rifle
loadout.stat.name.ads_speed_sniper_launcher,ADS Speed Sniper/Launcher,ADS Speed Sniper/Launcher,ADS Speed Sniper/Launcher,Velocidad ADS Lanzador/francotirador,Sniper/lanceur de vitesse ADS,Velocidade de Mira Sniper/Lançador,Скорость прицеливания со снайперкаой/ракетницей,ADS Speed Sniper/Launcher
loadout.stat.name.ammo_capacity,Ammo capacity,Ammo capacity,Munitionskapazität,Capacidad de munición,Capacité de munitions,Capacidade de Munição,Боезапас,Ammo capacity
loadout.stat.name.arccutter_power_usage,Arccutter Power Usage,Arccutter Power Usage,Arccutter -Stromverbrauch,Uso de energía del cortador de arco,Consommation d’énergie de l’Arccutter,Uso de Energia do Arccutter,Использование энергии плазменным резаком,Arccutter Power Usage
loadout.stat.name.assets_capacity,Assets capacity,Assets capacity,Asset-Kapazität,Capacidad de activos,Capacité des actifs,Capacidade dos Ativos,Вместимость активов,Assets capacity
loadout.stat.name.battery,Battery,Battery,Batterie,Batería,Batterie,Bateria,Аккумулятор,Battery
loadout.stat.name.class,Class,Class,Klasse,Clase,Classe,Classe,Класс,Class
loadout.stat.name.damage,Damage per shot,Damage per shot,Schaden,Daño,Dommages,Danos,Урон за выстрел,Damage per shot
loadout.stat.name.damage_type,Damage type,Damage type,Schadenstyp,Tipo de daño,Type de dégâts,Tipo de Dano,Тип урона,Damage type
loadout.stat.name.data_capacity,Data capacity,Data capacity,Datenkapazität,Capacidad de datos,Capacité de données,Capacidade de Dados,Вместимость данных,Data capacity
loadout.stat.name.effective_range,Effective range,Effective range,Effektive Reichweite,Rango efectivo,Plage effective,Alcance Efetivo,Эффективная дальность,Effective range
