messageKey,,en,de,es,fr,pt,ru,zh_CN
loadout.stat.value.class.carbine,Carbine,Carbine,Karabiner,Carabina,Carabine,Carbine,Карабин,Carbine
loadout.stat.value.class.launcher,Launcher,Launcher,Launcher,Lanzador,Lanceur,Launcher,Ракетница,Launcher
loadout.stat.value.class.pistol,Pistol,Pistol,Pistol,Pistola,Pistolet,Pistol,Пистолет,Pistol
loadout.stat.value.class.rifle,Rifle,Rifle,Rifle,Rifle,Fusil,Rifle,Винтовка,Rifle
loadout.stat.value.class.shotgun,Shotgun,Shotgun,Shotgun,Escopeta,Fusil de chasse,Shotgun,Дробовик,Shotgun
loadout.stat.value.class.sniper,Sniper,Sniper,Scharfschütze,Francotirador,Tireur d’élite,Sniper,Снайперская винтовка,Sniper
loadout.stat.value.damage_type.explosive,Explosive,Explosive,Explosiv,Explosivo,Explosif,Explosivo,Взрывной,Explosive
loadout.stat.value.damage_type.kinetic,Kinetic,Kinetic,Kinetic,Cinética,Cinétique,Cinético,Кинетический,Kinetic
loadout.stat.value.damage_type.plasma,Plasma,Plasma,Plasma,Plasma,Plasma,Plasma,Плазма,Plasma
loadout.stat.value.damage_type.thermal,Thermal,Thermal,Thermal,Térmico,Thermique,Térmica,Тепловой,Thermal
loadout.stat.value.fire_mode.automatic,Automatic,Automatic,Automatisch,Automático,Automatique,Automático,Автоматический,Automatic
loadout.stat.value.fire_mode.burst,Burst,Burst,Burst,Ráfaga,Rafale,Burst,Взрывной,Burst
loadout.stat.value.fire_mode.semi-automatic,Semi-automatic,Semi-automatic,Halbautomatisch,Semiautomático,Semi-automatique,Semiautomático,Полуавтоматический,Semi-automatic
loadout.stat.value.type.primary,Primary,Primary,Primary,Primario,Primaire,Primário,Основное,Primary
loadout.stat.value.type.secondary,Secondary,Secondary,Secondary,Secundario,Secondaire,Secundário,Дополнительное,Secondary
