messageKey,,en,de,es,fr,pt,ru,zh_CN
material.commoditytype.chemicals,Chemicals,Chemicals,Chemikalien,Químicos,Produits chimiques,Produtos químicos,Химикаты,Chemicals
material.commoditytype.consumer_items,Consumer Items,Consumer Items,Verbraucherartikel,Bienes de consumo,Articles de consommation,Itens de consumo,Потребительские товары,Consumer Items
material.commoditytype.foods,Foods,Foods,Lebensmittel,Alimentos,nourriture,Alimentos,Еда,Foods
material.commoditytype.industrial_materials,Industrial Materials,Industrial Materials,Industriematerialien,Materiales industriales,Matériaux industriels,Materiais industriais,Промышленные материалы,Industrial Materials
material.commoditytype.legal_drugs,Legal Drugs,Legal Drugs,Legale Drogen,Drogas legales,Drogues légales,Drogas legais,Легальные лекарства,Legal Drugs
material.commoditytype.machinery,Machinery,Machinery,Maschinen,Maquinaria,Machinerie,Máquinas,Машины,Machinery
material.commoditytype.medicines,Medicines,Medicines,Medikamente,Medicamentos,Médicaments,Remédios,Лекарства,Medicines
material.commoditytype.metals,Metals,Metals,Metalle,Metales,Les métaux,Metais,Металлы,Metals
material.commoditytype.minerals,Minerals,Minerals,Mineralien,Minerales,Minéraux,Minerais,Минералы,Minerals
material.commoditytype.nonmarketable,Nonmarketable,Nonmarketable,Nicht marketbar,No comercializado,Non marchant,Não -mercado,Не рыночный,Nonmarketable
material.commoditytype.salvage,Salvage,Salvage,Bergung,Salvamento,Sauvetage,Salvamento,Спасение,Salvage
material.commoditytype.slavery,Slavery,Slavery,Sklaverei,Esclavitud,Esclavage,Escravidão,Рабство,Slavery
material.commoditytype.technology,Technology,Technology,Technologie,Tecnología,Technologie,Tecnologia,Технологии,Technology
material.commoditytype.textiles,Textiles,Textiles,Textilien,Textiles,Textiles,Têxteis,Текстиль,Textiles
material.commoditytype.waste,Waste,Waste,Abfall,Residuos,Gaspillage,Desperdício,Напрасно тратить,Waste
material.commoditytype.weapons,Weapons,Weapons,Waffen,Armamento,Armes,Armas,Оружие,Weapons
material.commoditytype.powerplay,Powerplay,,,,,,,Powerplay
