messageKey,,en,de,es,fr,pt,ru,zh_CN
material.raw.antimony,Antimony,Antimony,Antimon,Antimonio,Antimoine,Antimônio,Сурьма,Antimony
material.raw.arsenic,Arsenic,Arsenic,Arsen,Arsénico,Arsenic,Arsênico,Мышьяк,Arsenic
material.raw.boron,Boron,Boron,Bor,Boro,Bore,Boro,Бор,Boron
material.raw.cadmium,Cadmium,Cadmium,Kadmium,Cadmio,Cadmium,Cádmio,Кадмий,Cadmium
material.raw.carbon,Carbon,Carbon,Kohlenstoff,Carbono,Carbone,Carbono,Углерод,Carbon
material.raw.chromium,Chromium,Chromium,Chrom,Cromo,Chrome,Cromo,Хром,Chromium
material.raw.germanium,Germanium,Germanium,Germanium,Germanio,Germanium,Germânio,Германий,Germanium
material.raw.iron,Iron,Iron,Eisen,Hierro,Fer,Ferro,Железо,Iron
material.raw.lead,Lead,Lead,Blei,Plomo,Plomb,Chumbo,Свинец,Lead
material.raw.manganese,Manganese,Manganese,Mangan,Manganeso,Manganèse,Manganês,Марганец,Manganese
material.raw.mercury,Mercury,Mercury,Quecksilber,Mercurio,Mercure,Mercúrio,Ртуть,Mercury
material.raw.molybdenum,Molybdenum,Molybdenum,Molibdän,Molibdeno,Molybdène,Molibdênio,Молибден,Molybdenum
material.raw.nickel,Nickel,Nickel,Nickel,Níquel,Nickel,Níquel,Никель,Nickel
material.raw.niobium,Niobium,Niobium,Niobium,Niobio,Niobium,Nióbio,Ниобий,Niobium
material.raw.phosphorus,Phosphorus,Phosphorus,Phosphor,Fósforo,Phosphore,Fósforo,Фосфор,Phosphorus
material.raw.polonium,Polonium,Polonium,Polonium,Polonio,Polonium,Polônio,Полоний,Polonium
material.raw.rhenium,Rhenium,Rhenium,Rhenium,Renio,Rhénium,Rênio,Рений,Rhenium
material.raw.ruthenium,Ruthenium,Ruthenium,Ruthenium,Rutenio,Ruthénium,Rutênio,Рутений,Ruthenium
material.raw.selenium,Selenium,Selenium,Selen,Selenio,Sélénium,Selênio,Селен,Selenium
material.raw.sulphur,Sulphur,Sulphur,Schwefel,Azufre,Soufre,Enxofre,Сера,Sulphur
material.raw.technetium,Technetium,Technetium,Technetium,Tecnecio,Technétium,Tecnécio,Технеций,Technetium
material.raw.tellurium,Tellurium,Tellurium,Tellur,Teluro,Tellure,Telúrio,Теллур,Tellurium
material.raw.tin,Tin,Tin,Zinn,Estaño,Étain,Estanho,Олово,Tin
material.raw.tungsten,Tungsten,Tungsten,Wolfram,Tungsteno,Tungstène,Tungstênio,Вольфрам,Tungsten
material.raw.unknown,Unknown,Unknown,Unbekannt,Desconocido,Inconnu,Desconhecido,Неизвестно,Unknown
material.raw.vanadium,Vanadium,Vanadium,Vanadium,Vanadio,Vanadium,Vanádio,Ванадий,Vanadium
material.raw.yttrium,Yttrium,Yttrium,Yttrium,Ytrio,Yttrium,Ítrio,Иттрий,Yttrium
material.raw.zinc,Zinc,Zinc,Zink,Zinc,Zinc,Zinco,Цинк,Zinc
material.raw.zirconium,Zirconium,Zirconium,Zirconium,Circonio,Zirconium,Zircônio,Цирконий,Zirconium
