messageKey,,en,de,es,fr,pt,ru,zh_CN
material.good.agriculturalprocesssample,Agricultural Process Sample,Agricultural Process Sample,Agrikulturverfahren-Probe,Muestra de proceso agrícola,Échantillon de production agricole,Amostra de Processo Agrícola,Образец сельхозпроизводства,Agricultural Process Sample
material.good.biochemicalagent,Biochemical Agent,Biochemical Agent,Biochemischer Wirkstoff,Agente bioquímico,Agent biochimique,Agente Bioquímico,Биохимический агент,Biochemical Agent
material.good.buildingschematic,Building Schematic,Building Schematic,Gebäudeplan,Esquema de edificio,Plan de bâtiment,Esquema de Construção,Чертеж здания,Building Schematic
material.good.californium,Californium,Californium,Californium,Californio,Californium,Califórnio,Калифорний,Californium
material.good.castfossil,Cast Fossil,Cast Fossil,Fossilfund,Molde de fósil,Moulage de fossile,Molde de Fóssil,Окаменелый отпечаток,Cast Fossil
material.good.chemicalprocesssample,Chemical Process Sample,Chemical Process Sample,Chemieverfahren-Probe,Muestra de proceso químico,Échantillon de production chimique,Amostra de Processo Químico,Образец химпроизводства,Chemical Process Sample
material.good.chemicalsample,Chemical Sample,Chemical Sample,Chemieprobe,Muestra química,Échantillon chimique,Amostra Química,Химический образец,Chemical Sample
material.good.compactlibrary,Compact Library,Compact Library,Kompakt-Bibliothek,Biblioteca compacta,Bibliothèque de poche,Biblioteca Compacta,Компактная библиотека,Compact Library
material.good.compressionliquefiedgas,Compression-Liquefied Gas,Compression-Liquefied Gas,Komprimiertes Flüssiggas,Gas licuado comprimido,Gaz liquéfié,Gás Liquefeito Comprimido,Сжиженный газ,Compression-Liquefied Gas
material.good.deepmantlesample,Deep Mantle Sample,Deep Mantle Sample,Innerer-Mantel-Probe,Muestra del manto profundo,Échantillon de manteau inférieur,Amostra de Manto,Образец из глубокой мантии,Deep Mantle Sample
material.good.degradedpowerregulator,Degraded Power Regulator,Degraded Power Regulator,Ausrangierter Energieregulator,Regulador de potencia degradado,Régulateur de puissance endommagé,Regulador de Energia Degradado,Нерабочий регулятор мощности,Degraded Power Regulator
material.good.geneticrepairmeds,Genetic Repair Meds,Genetic Repair Meds,Gen-Reparatursets,Medicinas de reparación genética,Traitements génétiques,Remédios para Reparo Genético,Генно-репаративные препараты,Genetic Repair Meds
