messageKey,,en,de,es,fr,pt,ru,zh_CN
menu.about.beer,If you like to buy me a beer,If you like to buy me a beer,Wenn du mir ein Bier kaufen möchtest,Si quieres comprarme una cerveza,Si vous voulez m’offrir une bière,Se você quiser me comprar uma cerveja,Если хочешь купить мне пива,If you like to buy me a beer
menu.about.disclaimer.1,DISCLAIMER: not all information under the tooltips,DISCLAIMER: not all information under the tooltips,DISCLAIMER: nicht alle Informationen unter den Tooltips,DESCARGO DE RESPONSABILIDAD: no toda la información en los consejos,AVERTISSEMENT : Toutes les informations contenues dans les info-bulles,AVISO LEGAL: nem todas as informações nas dicas de ferramentas,ОТКАЗ ОТ ОТВЕТСТВЕННОСТИ: не вся информация во всплывающих подсказках,DISCLAIMER: not all information under the tooltips
menu.about.disclaimer.2,are guaranteed to be complete or correct.,are guaranteed to be complete or correct.,sind garantiert vollständig und richtig.,se garantizan que estén completos o sean correcto.,ne sont pas garanties comme étant complètes ou correctes.,são garantidos como completos ou corretos.,гарантированно является полной или правильной.,are guaranteed to be complete or correct.
menu.about.download,Download,Download,Herunterladen,Descargar,Télécharger,Baixar,Скачать,Download
menu.about.report,Report a bug,Report a bug,Fehler melden,Informar de un error,Signaler un bogue,Reportar um problema,Сообщить об ошибке,Report a bug
menu.about.version.new,Version: {0} ({1} available!),Version: {0} ({1} available!),Version: {0} ({1} verfügbar!),Versión: {0} ({1} disponible!),Version : {0} ({1} disponible !),Versão: {0} ({1} disponível!),Версия: {0} (доступна {1}!),Version: {0} ({1} available!)
menu.about.version,Version: {0},Version: {0},Version: {0},Versión: {0},Version : {0},Versão: {0},Версия: {0},Version: {0}
menu.about,About,About,Über,Acerca de,À propos,Sobre,О приложении,About
menu.legend.asset.chemical,Chemical component,Chemical component,Chemische Komponente,Componente químico,Composant chimique,Componente químico,Химикаты,Chemical component
menu.legend.asset.circuit,Circuit component,Circuit component,Schaltungskomponente,Componente del circuito,Composant de circuit,Componente do circuito,Схемы,Circuit component
menu.legend.asset.tech,Tech component,Tech component,Tech-Komponente,Componente tecnológico,Composant technique,Componente técnico,Техника,Tech component
menu.legend.data.blueprint.and.engineer,Data used in blueprints and for unlocking engineers,Data used in blueprints and for unlocking engineers,"Daten, die in Blaupausen und zum Freischalten von Ingenieuren verwendet werden",Datos utilizados en planos y para desbloquear ingenieros,Données utilisées pour des plans et déverrouiller des ingénieurs,Dados usados ??em projetos e para desbloquear engenheiros,"Данные, используемые в чертежах и для разблокировки инженеров",Data used in blueprints and for unlocking engineers
menu.legend.data.blueprint,Data used in blueprints,Data used in blueprints,In Blaupausen verwendete Daten,Datos usados en planos,Données utilisées pour des plans,Dados usados ??em projetos,"Данные, используемые в чертежах",Data used in blueprints
menu.legend.data.engineer.only,Data used only for unlocking engineers,Data used only for unlocking engineers,Daten werden nur zum Freischalten von Ingenieuren verwendet,Datos utilizados solo para desbloquear ingenieros,Données utilisées uniquement pour déverrouiller des ingénieurs,Dados usados ??apenas para desbloquear engenheiros,Данные используются только для разблокировки инженеров,Data used only for unlocking engineers
menu.legend.data.unused,Unused data,Unused data,Unbenutzte Daten,Datos no utilizados,Données inutilisées,Dados não utilizados,Неиспользуемые данные,Unused data
menu.legend.good.blueprint.and.engineer,Item used in blueprints and for unlocking engineers,Item used in blueprints and for unlocking engineers,"Gegenstand, der in Blaupausen und zum Freischalten von Ingenieuren verwendet wird",Elemento utilizado en planos y para desbloquear ingenieros,Élément utilisé pour des plans et déverrouiller des ingénieurs,Item usado em projetos e para desbloquear engenheiros,"Предмет, используемый в чертежах и для разблокировки инженеров",Item used in blueprints and for unlocking engineers
menu.legend.good.blueprint,Item used in blueprints,Item used in blueprints,In Blaupausen verwendeter Gegenstand,Elemento utilizado en planos,Élément utilisé pour les plans,Item usado em projetos,"Предмет, используемый в чертежах",Item used in blueprints
menu.legend.good.engineer.only,Item used only for unlocking engineers,Item used only for unlocking engineers,Gegenstand wird nur zum Freischalten von Ingenieuren verwendet,Elemento utilizado solo para desbloquear ingenieros,Élément utilisé uniquement pour déverrouiller des ingénieurs,Item usado apenas para desbloquear engenheiros,"Предмет, используемый только для разблокировки инженеров",Item used only for unlocking engineers
menu.legend.good.unused,Unused item,Unused item,Unbenutzter Gegenstand,Elemento no utilizado,Élément inutilisé,Item não utilizado,Неиспользованный предмет,Unused item
menu.legend,Legend,Legend,Legende,Leyenda,Légende,Legenda,Легенда,Legend
menu.about.tutorial,Official video howto guide,Official video howto guide,Offizielles Video Howto Guide,Guía oficial del cómo en video,Tutoriel vidéo officiel,Guia oficial de vídeo como,Официальное видео руководство,Official video howto guide
