messageKey,,en,de,es,fr,pt,ru,zh_CN
power.zemina_torval,Zemina Torval,,,,,,,Zemina Torval
power.yuri_grom,Yuri Grom,,,,,,,Yuri Grom
power.felicia_winters,Felicia Winters,,,,,,,Felicia Winters
power.li_yong_rui,Li Yong-Rui,,,,,,,Li Yong-Rui
power.archon_delaine,Archon Delaine,,,,,,,Archon Delaine
power.nakato_kaine,Nakato Kaine,,,,,,,Nakato Kaine
power.jerome_archer,Jerome Archer,,,,,,,Jerome Archer
power.denton_patreus,Denton Patreus,,,,,,,Denton Patreus
power.pranav_antal,Pranav Antal,,,,,,,Pranav Antal
power.a_lavigny_duval,A. Lavigny-Duval,,,,,,,A. Lavigny-Duval
power.aisling_duval,Aisling Duval,,,,,,,Aisling Duval
power.edmund_mahon,Edmund Mahon,,,,,,,Edmund Mahon
power.all,All powers,,,,,,Все державы,All powers
power.none,None,,,,,,Нет,None
