messageKey,,en,de,es,fr,pt,ru,zh_CN
blueprint.group.name.abrasion_blasters,Mining Tools - Abrasion Blasters,,,Herramientas de Minería - Destructor de Abrasión,,Ferramentas de Mineração - Detonadores de Abrasão,Инструменты добычи - Абразивные бластеры,Mining Tools - Abrasion Blasters
blueprint.group.name.sub_surface_displacement_missiles,Mining Tools - Sub Surface Displacement Missiles,,,Herramientas de Minería - Misiles de Desplaz. Subterraneo,,Ferramentas de Mineração - Mísseis de Deslocamento Subterrâneo,Инструменты добычи - Вытесняющие ракеты для добычи глубинных залежей,Mining Tools - Sub Surface Displacement Missiles
blueprint.group.name.mining_lasers,Mining Tools - Mining Lasers,,,Herramientas de Minería - Láseres de Minería,,Ferramentas de Mineração - Lasers de Mineração,Инструменты добычи - Проходочные лазеры,Mining Tools - Mining Lasers
blueprint.group.name.seismic_charge_launchers,Mining Tools - Seismic Charge Launchers,,,Herramientas de Minería - Lanzador de Carga Sísimca,,Ferramentas de Mineração - Lançadores de Carga Sísmica,Инструменты добычи - Пусковые установки для сейсмических снарядов,Mining Tools - Seismic Charge Launchers
blueprint.group.name.ax_missile_racks,Experimental - AX Missile Racks,,,Experimental - Lanzamisiles AX,,Experimental - Estantes de Mísseis AX,Экспериментальное - Блоки ракет АИ,Experimental - AX Missile Racks
blueprint.group.name.shock_cannons,Experimental - Shock Cannons,,,,,Experimental - Canhões de Impacto,Экспериментальное - Шоковые орудия,Experimental - Shock Cannons
blueprint.group.name.guardian_shard_cannons,Experimental - Guardian Shard Cannons,,,Experimental - Cañón de Esquirlas Guardián,,Experimental - Canhões de Fragmentos Guardian,Экспериментальное - Осколочные орудия Стражей,Experimental - Guardian Shard Cannons
blueprint.group.name.guardian_gauss_cannons,Experimental - Guardian Gauss Cannons,,,Experimental - Cañón Gauss Guardián,,Experimental - Canhões Gauss Guardian,Экспериментальное - Пушки Гаусса Стражей,Experimental - Guardian Gauss Cannons
blueprint.group.name.guardian_plasma_chargers,Experimental - Guardian Plasma Chargers,,,Experimental - Cargador de Plasma Guardián,,Experimental - Carregadores de Plasma Guardian,Экспериментальное - Плазменные пушки Стражей,Experimental - Guardian Plasma Chargers
blueprint.group.name.guardian_nanite_torpedo_pylons,Experimental - Guardian Nanite Torpedo Pylons,,,Experimental - Lanzatorpedos Nanotecnológico Guardián,,Experimental - Torres de Torpedo Nanite Guardian,Экспериментальное - Торпедные нанитные установки Стражей,Experimental - Guardian Nanite Torpedo Pylons
blueprint.group.name.remote_release_flak_launchers,Experimental - Remote Release Flak Launchers,,,Experimental - Lanzador Antiaereo Remoto,,Experimental - Lançadores Flak de Liberação Remota,Экспериментальное - Зенитные установки,Experimental - Remote Release Flak Launchers
blueprint.group.name.remote_release_flechette_launchers,Experimental - Remote Release Flechette Launchers,,,Experimental - Lanzador de Flechettes Remoto,,Experimental - Lançadores de Dardos de Liberação Remota,Экспериментальное - Установки для стрельбы стреловидными снарядами,Experimental - Remote Release Flechette Launchers
blueprint.group.name.ax_multi_cannons,Experimental - AX Multi Cannons,,,Experimental - Multicañones AX,,Experimental - Canhões de Repetição AX,Экспериментальное - Многоствольные орудия АИ,Experimental - AX Multi Cannons
blueprint.group.name.enzyme_missile_racks,Experimental - Enzyme Missile Racks,,,Experimental - Lanzamisiles de Enzimas,,Experimental - Estente de Mísseis Enzimáticos,Экспериментальное - Блоки энзимных ракет,Experimental - Enzyme Missile Racks
blueprint.group.name.beam_lasers,Beam Lasers,,,Láseres de Rayo,,Lasers Contínuos,Пучковые лазеры,Beam Lasers
blueprint.group.name.burst_lasers,Burst Lasers,,,Láseres de Ráfaga,,Lasers de Rajada,Пульсирующие лазеры,Burst Lasers
blueprint.group.name.cannons,Cannons,,,Cañones,,Canhões,Орудия,Cannons
blueprint.group.name.fragment_cannons,Fragment Cannons,,,Cañones de Fragmentación,,Canhões de Fragmentação,Залповые орудия,Fragment Cannons
blueprint.group.name.mine_launchers,Mine Launchers,,,Lanzaminas,,Lançadores de Minas,Минирующие устройства,Mine Launchers
blueprint.group.name.missile_racks,Missile Racks,,,Lanzamisiles,,Estantes de Mísseis,Ракетные блоки,Missile Racks
blueprint.group.name.multi_cannons,Multi Cannons,,,Multicañones,,Canhões de Repetição,Многоствольные орудия,Multi Cannons
blueprint.group.name.plasma_accelerators,Plasma Accelerators,,,Aceleradores de Plasma,,Aceleradores de Plasma,Ускорители плазмы,Plasma Accelerators
blueprint.group.name.pulse_lasers,Pulse Lasers,,,Láseres de Pulso,,Lasers de Pulso,Импульсные лазеры,Pulse Lasers
blueprint.group.name.rail_guns,Rail Guns,,,Cañones de Riel,,Canhões Elétricos,Рельсотроны,Rail Guns
blueprint.group.name.torpedo_pylons,Torpedo Pylons,,,Lanza-Torpedos,,Pilones de Torpedos,Торпедные установки,Torpedo Pylons
blueprint.group.name.chaff_launchers,Chaff Launchers,,,Lanzador de Señuelos,,Lançadores de Chaff,Разбрасыватели дипольных отражателей,Chaff Launchers
blueprint.group.name.electronic_countermeasures,Electronic Countermeasures,,,Contramedidas Electrónicas,,Contramedidas Eletrônicas,Радиоэлектронное подавление,Electronic Countermeasures
blueprint.group.name.frame_shift_wake_scanners,Frame Shift Wake Scanners,,,Escáneres de Estelas,,Scanners de Rastro de Distorção,Следовые сканеры,Frame Shift Wake Scanners
blueprint.group.name.sink_launchers,Sink Launchers,,,Eyectores Térmicos,,Dissipadores Térmicos,Катапульты,Sink Launchers
blueprint.group.name.kill_warrant_scanners,Kill Warrant Scanners,,,Escáneres de Registro Criminal,,Scanners de Registro Criminal,Сканеры преступников,Kill Warrant Scanners
blueprint.group.name.manifest_scanners,Manifest Scanners,,,Escáneres de Manifiesto,,Scanners de manifesto,Сканеры груза,Manifest Scanners
