messageKey,,en,de,es,fr,pt,ru,zh_CN
ship.stats.config,Configuration,,,Ajustes,,Configuração,Конфигурация,Configuration
ship.stats.config.live,Live,,,,,ao Vivo,,Live
ship.stats.config.fuelreserve,Fuel reserve,,,Reserva de Combustible,,Reservas de Combustível,Резерв топлива,Fuel reserve
ship.stats.config.fuel,Fuel (Max. {0}),,,Combustible (Max. {0}),,Comb (Max. {0}),Топливо (Макс. {0}),Fuel (Max. {0})
ship.stats.config.cargo,Cargo (Max. {0}+{1}),,,Capacidad de Carga (Max. {0}+{1}),,Carga (Max. {0}+{1}),Груз (Макс. {0}+{1}),Cargo (Max. {0}+{1})
ship.stats.config.system,System,,,Sistemas,,Sistema,СИС,System
ship.stats.config.engine,Engine,,,Motores,,Motores,ДВГ,Engine
ship.stats.config.weapon,Weapon,,,Armas,,Armas,ОРУ,Weapon
ship.stats.config.cargo_hatch,Cargo hatch,,,Escotilla de Carga,,Escotilha de Carga,Грузовой ковш,Cargo hatch
ship.stats.thermalpower,Thermals & power,,,Energía y Calor,,Térmicos e Energia,Нагрев и Мощность,Thermals & power
ship.stats.thermal,Thermals,,,Temperatura,,Térmicos,Нагрев,Thermals
ship.stats.power,Power,,,Energía,,Energia,Мощность,Power
ship.stats.thermal.idle.thermals,Idle heat,,,Temperatura en Reposo,,Calor estático,В покое,Idle heat
ship.stats.thermal.thruster.thermals,Full thrust heat,,,Temperatura a Máxima Aceleración,,Calor em velocidade máxima,В движении,Full thrust heat
ship.stats.thermal.fsd.thermals,FSD charging heat,,,Temperatura Cargando MDD,,Calor de carregamento de MDD,При зарядке FSD,FSD charging heat
ship.stats.thermal.idle.thermals.value,{0}%,,,,,,,{0}%
ship.stats.thermal.thruster.thermals.value,{0}%,,,,,,,{0}%
ship.stats.thermal.fsd.thermals.value,{0}%,,,,,,,{0}%
ship.stats.thermal.thermals.value.percentage,{0}%,,,,,,,{0}%
ship.stats.thermal.thermals.value.time,{0},,,,,,,{0}
ship.stats.thermal.thermals.value.error,N/A,,,,,,Н/Д,N/A
ship.stats.power.retracted.power,Retracted,,,Replegado,,Recolhido,Убрано,Retracted
ship.stats.power.deployed.power,Deployed,,,Desplegado,,Extendido,Выпущено,Deployed
ship.stats.power.retracted.power.value,{0}/{1} MW,,,,,,{0}/{1} МВт,{0}/{1} MW
ship.stats.power.deployed.power.value,{0}/{1} MW,,,,,,{0}/{1} МВт,{0}/{1} MW
ship.stats.jumprange,Jump range,,,Rango de Salto,,,Дальность прыжка,Jump range
ship.stats.jumprange.value,{0} Ly,,,{0} AL,,{0} Al,{0} с.л.,{0} Ly
ship.stats.jumprange.min,Minimum range,,,Salto Mínimo,,Salto Mínimo,Минимальна дальность,Minimum range
ship.stats.jumprange.current,Current range,,,Salto Actual,,Salto Atual,Текущая дальность,Current range
ship.stats.jumprange.maxfueled,Maximum range (full fuel),,,Máximo Salto (Combustible lleno),,Alcance Máximo (Combustível pleno),Максимальная дальность (полный бак),Maximum range (full fuel)
ship.stats.jumprange.max,Maximum range (minimal fuel),,,Máximo Salto (Combustible Mínimo),,Alcance Máximo (Combustível mínimo),Максимальная дальность (минимум топлива),Maximum range (minimal fuel)
ship.stats.engine,Engine,,,Motor,,Motor,Двигатель,Engine
ship.stats.engine.speed,Speed,,,Velocidad,,Velocidade,Скорость,Speed
ship.stats.engine.boost,Boost,,,Postquemador,,Impulso,Ускорение,Boost
ship.stats.engine.recharge,Recharge,,,Recarga,,Recarga,Перезарядка,Recharge
ship.stats.engine.speed.value,{0} m/s,,,,,,{0} м/с,{0} m/s
ship.stats.engine.boost.value,{0} m/s,,,,,,{0} м/с,{0} m/s
ship.stats.engine.recharge.value,{0} s,,,,,,{0} с,{0} s
ship.stats.engine.currentspeed,Current speed,,,Velocidad Actual,,Velocidade Atual,Текущая скорость,Current speed
ship.stats.engine.currentboost,Current boost,,,Postquemador Actual,,Impulso Atual,Текущее ускорение,Current boost
