messageKey,,en,de,es,fr,pt,ru,zh_CN
hge.most.recently.found,Most recently found in:,,,Recientemente encontrado en:,,Encontrado mais recentemente em:,Недавно найдено в:,Most recently found in:
hge.card.system,System,,,Sistema,,Sistema,Система,System
hge.card.faction,Faction,,,Facción,,Facção,Фракция,Faction
hge.card.materials.expected,Potential materials,,,Materiales potenciales,,Materiais potenciais,Вероятные материалы,Potential materials
hge.card.materials.found,Collected materials,,,Materiales recogidos,,Materiais coletados,Собранные материалы,Collected materials
hge.card.state,State,,,Estado,,Estado,Состояние,State
hge.card.states,States,,,Estados,,Estados,Состояния,States
hge.card.allegiance,Allegiance,,,lealtad,,Lealdade,Принадлежность,Allegiance
hge.card.population,Population,,,Población,,População,Население,Population
hge.card.economy,Economies,,,Economias,,Economias,Экономика,Economies
hge.card.fss.timer,This HGE will despawn when the timer expires.,,,Este HGE desaparecerá cuando el temporizador expire,,Este HGE desaparecerá quando o cronômetro expirar.,Этот сигнал исчезнет по истечению таймера,This HGE will despawn when the timer expires.
hge.card.uss.timer,It is unknown when this HGE despawns.\nThis message is removed after a timer of 10 minutes.,,,No se conoce cuando desaparecerá este HGE.\nEste mensaje sera removido transcurridos 10 minutos.,,Não se sabe quando este HGE desaparecerá.\nEsta mensagem é removida após um cronômetro de 10 minutos.,Время исчезновения сигнала неизвестно.\nЭто сообщение будет удалено через 10 минут.,It is unknown when this HGE despawns.\nThis message is removed after a timer of 10 minutes.
hge.explain,My scanned and visited High Grade Emissions,,,Mis Emisiones de Alto Grado visitadas y escaneadas,,Minhas Emissões de Alto Grau escaneadas e visitadas,Мои отсканированные и посещенные Высокоуровневые сигналы,My scanned and visited High Grade Emissions
hge.tracking.disabled,Material tracking is disabled. Disable the tracking opt-out under Settings > Tracking.,,,El seguimiento de materiales esta deshabilitado. Deshabilite la exclusion de seguimiento en Ajustes > Seguimiento.,,O rastreamento de materiais está desabilitado. Desabilite a opção de desativar o rastreamento em Configurações > Rastreamento.,Отслеживание материалов отключено. включить - Настройки > Отслеживание,Material tracking is disabled. Disable the tracking opt-out under Settings > Tracking.
hge.unknown,Unknown,,,Desconocido,,Desconhecido,Неизвестно,Unknown
hge.fss,FSS Scanned,,,ECS Escaneado,,FSS escaneado,Сканировано через FSS,FSS Scanned
hge.uss,Visited,,,Visitado,,Visitado,Посещено,Visited
population.million,{0} Million,,,{0} Millones,,{0} Milhões,Миллион,{0} Million
population.billion,{0} Billion,,,{0} Mil Millones,,{0} Bilhões,Миллиард,{0} Billion
population.trillion,{0} Trillion,,,{0} Billones,,{0} Trilhões,Триллион,{0} Trillion
