messageKey,,en,de,es,fr,pt,ru,zh_CN
horizons.materials.nearest.trader,Closest trader,Closest trader,Nächster Händler,Comerciante más cercano,Commerçant le plus proche,Mediador mais próximo,Ближайший торговец,Closest trader
total.type.name.sub_total,Total (Backpack + Ship),Total (Backpack + Ship),Gesamt (Rucksack + Schiff),Total (Mochila + Nave),Total (sac à dos + navire),Total (Mochila + Nave),Всего (рюкзак + корабль),Total (Backpack + Ship)
total.type.name.blueprint,Blueprint,Blueprint,Bauplan,Plano,Plan directeur,Projeto,Чертеж,Blueprint
total.type.name.chemical,Chemical,Chemical,Chemie,Químico,Chimie,Químico,Химикаты,Chemical
total.type.name.circuit,Circuit,Circuit,Schaltung,Circuito,Circuit,Circuito,Схемы,Circuit
total.type.name.irrelevant,Irrelevant,Irrelevant,Irrelevant,Irrelevante,Non pertinent,Irrelevante,Неиспользуемые,Irrelevant
total.type.name.tech,Tech,Tech,Tech,Tecnología,Technologie,Tecnologia,Техника,Tech
total.type.name.total,Total,Total,Gesamt,Total,Total,Total,Всего,Total
storage.type.horizons.name.encoded,Encoded,Encoded,Codiert,Datos,Codé,Codificado,Зашифрованные,Encoded
storage.type.horizons.name.manufactured,Manufactured,Manufactured,Hergestellt,Materiales Procesados,Fabriqué,Fabricado,Производственные,Manufactured
storage.type.horizons.name.other,Other,Other,Sonstiges,Otro,Autre,Outro,Другой,Other
storage.type.horizons.name.raw,Raw,Raw,Roh,Materias Primas,Brut,Bruto,Хим. элементы,Raw
storage.type.name.asset,Assets,Assets,Assets,Activos,Actifs,Ativos,Активы,Assets
storage.type.name.data,Data,Data,Daten,Datos,Données,Data,Данные,Data
storage.type.name.good,Goods,Goods,Waren,Bienes,Marchandises,Bens,Товары,Goods
storage.type.name.other,Other,Other,Andere,Otro,Autre,Outro,Прочее,Other
storage.type.name.trade,Trade,Trade,Handel,Comercio,Commerce,Comércio,Торговля,Trade
total.type.name.powerplay,Powerplay,,,,,,,Powerplay
