messageKey,,en,de,es,fr,pt,ru,zh_CN
create.trade.offer.button,Create trade offer,Create trade offer,Handelsangebot erstellen,Crear oferta comercial,Créer une offre commerciale,Criar oferta comercial,Начать торговлю,Create trade offer
tab.trade.button.connect,connect,connect,connect,conectar,connect,conectar,Присоединиться,connect
tab.trade.button.disconnect,disconnect,disconnect,trennen,desconectar,déconnecter,desconectar,Отключиться,disconnect
tab.trade.my.trades,My trade offers,My trade offers,Meine Handelsangebote,Mis ofertas comerciales,Mes offres commerciales,Minhas ofertas comerciais,Мои предложения на продажу,My trade offers
tab.trade.new.trade,New trade offer,New trade offer,Neues Handelsangebot,Nueva oferta comercial,Nouvelle offre commerciale,Nova oferta comercial,Новое предложение на продажу,New trade offer
tab.trade.other.trades,Available trade requests,Available trade requests,Verfügbare Handelsanfragen,Solicitudes comerciales disponibles,Demandes d’échange disponibles,Pedidos de negociação disponíveis,Доступные торговые запросы,Available trade requests
tab.trade.pagination.OFFER,My trade offers,My trade offers,Meine Handelsangebote,Mis ofertas comerciales,Mes offres commerciales,Minhas ofertas comerciais,Мои торговые предложения,My trade offers
tab.trade.pagination.REQUEST,Available trade requests,Available trade requests,Verfügbare Handelsanfragen,Solicitudes comerciales disponibles,Demandes d’échange disponibles,Pedidos de troca disponíveis,Доступные торговые запросы,Available trade requests
tab.trade.pagination.updates,{0} updates,{0} updates,{0} Updates,{0} actualizaciones,{0} mises à jour,{0} atualizações,{0} обновлений,{0} updates
tab.trade.status.connected,Connected,Connected,Verbunden,Conectado,Connecté,Conectado,Подключено,Connected
tab.trade.status.connecting,Connecting...,Connecting...,Verbindung wird hergestellt...,Conectando...,Connexion...,Conectando...,Подключение...,Connecting...
tab.trade.status.not.connected,not connected,not connected,nicht verbunden,no conectado,non connecté,não conectado,не подключен,not connected
trade.button.chat,Chat,Chat,Chat,Chat,Chat,Chat,Чат,Chat
trade.buttons.accept,Accept,Accept,Akzeptieren,Aceptar,Accepter,Aceitar,Принять,Accept
trade.buttons.reject,Reject,Reject,Ablehnen,Rechazar,Rejeter,Rejeitar,Отклонить,Reject
trade.chat.title,Trade chat: {0}({1}) <> {2}({3}),Trade chat: {0}({1}) <> {2}({3}),Handelschat: {0}({1}) <> {2}({3}),Chat de comercio: {0} ({1}) <> {2} ({3}),Chat d’échange: {0}({1}) <> {2}({3}),Bate-papo comercial: {0} ({1}) <> {2} ({3}),Торговый чат: {0} ({1}) <> {2} ({3}),Trade chat: {0}({1}) <> {2}({3})
trade.create.amount,Amount,Amount,Betrag,Cantidad,Montant,Quantia,Сумма,Amount
trade.create.in.exchange.for,In exchange for,In exchange for,Im Austausch für,A cambio de,En échange de,Em troca de,В обмен на,In exchange for
trade.create.invalid.duplicate,Please do not select the same materials to offer and receive,Please do not select the same materials to offer and receive,"Bitte wählen Sie nicht dieselben Materialien aus, um sie anzubieten und zu erhalten",Por favor no seleccionar los mismos materiales para ofrecer y recibir,Veuillez ne pas sélectionner les mêmes matériaux à offrir et à recevoir,"Por favor, não selecione os mesmos materiais para oferecer e receber","Пожалуйста, не выбирайте одни и те же материалы для предложения и получения",Please do not select the same materials to offer and receive
trade.create.invalid.materials,Please enter valid materials for offer and receive,Please enter valid materials for offer and receive,Bitte geben Sie gültige Materialien für das Angebot ein und erhalten Sie,Ingrese materiales válidos para la ofrecer y recibir,Veuillez entrer des matériaux valides pour l’offre et recevoir,"Por favor, insira materiais válidos para oferta e receba","Пожалуйста, введите действительные материалы для предложения и получите",Please enter valid materials for offer and receive
trade.create.invalid.offer,Invalid offer,Invalid offer,Ungültiges Angebot,Oferta no válida,Offre invalide,Oferta inválida,Недействительное предложение,Invalid offer
trade.create.max,Max. {0},Max. {0},Max. {0},Máx. {0},Max. {0},Máx. {0},Макс. {0},Max. {0}
trade.create.offer,Offer,Offer,Angebot,Oferta,Offre,Oferta,Предложение,Offer
trade.message.chat.send,Send,Send,Senden,Enviar,Envoyer,Enviar,послать,Send
trade.offer.button.remove,Remove Offer,Remove Offer,Angebot entfernen,Eliminar oferta,Supprimer l’offre,Remover oferta,Удалить предложение,Remove Offer
trade.request.button.request.cancel,Cancel trade,Cancel trade,Handel abbrechen,Cancelar intercambio,Annuler l’échange,Cancelar negociação,Отменить сделку,Cancel trade
trade.request.button.request.trade,Request to trade,Request to trade,Anfrage zum Handeln,Solicitud de intercambio,Demande d’échange,Pedido de troca,Запрос на торговлю,Request to trade
trade.request.distance,Location: {0} ({1}Ly),Location: {0} ({1}Ly),Standort: {0} ({1}Ly),Ubicación: {0} ({1} Ly),Emplacement: {0} ({1}Ly),Local: {0} ({1} Ly),Местоположение: {0} ({1} Ly),Location: {0} ({1}Ly)
trade.request.status.accepted,Status: Accepted,Status: Accepted,Status: Akzeptiert,Estado: Aceptado,Statut: Accepté,Status: Aceito,Статус: Принято,Status: Accepted
trade.request.status.available,Status: Available,Status: Available,Status: Verfügbar,Estado: Disponible,Statut: Disponible,Status: Disponível,Статус: Доступен,Status: Available
